company,method,dimension,mae,rmse,hellinger,max_error,max_error_cat,signed_AIAN,signed_Asian,signed_Black,signed_Female,signed_Hispanic,signed_Male,signed_NHOPI,signed_Not Hispanic,signed_Two+,signed_White
OSI INDUSTRIES LLC,M4 Occ-Weighted,race,13.66,20.3,0.3049,34.88,Black,-0.31,-4.8,-34.88,,,,-1.0,,6.45,34.5
OSI INDUSTRIES LLC,M4 Occ-Weighted,gender,1.35,1.35,0.0097,1.35,Male,,,,1.35,,-1.35,,,,
OSI INDUSTRIES LLC,M4 Occ-Weighted,hispanic,3.71,3.71,0.0286,3.71,Not Hispanic,,,,,3.71,,,-3.71,,
OSI INDUSTRIES LLC,M5 Variable-Weight,race,15.45,24.498,0.3447,42.67,White,-0.08,-3.44,-41.88,,,,-0.96,,3.66,42.67
OSI INDUSTRIES LLC,M5 Variable-Weight,gender,4.86,4.86,0.0349,4.86,Male,,,,4.86,,-4.86,,,,
OSI INDUSTRIES LLC,M5 Variable-Weight,hispanic,0.01,0.01,0.0001,0.01,Not Hispanic,,,,,0.01,,,-0.01,,
OSI INDUSTRIES LLC,M6 IPF+Occ,race,21.39,34.434,0.523,64.14,White,-0.55,-6.99,-54.3,,,,-1.03,,-1.3,64.14
OSI INDUSTRIES LLC,M6 IPF+Occ,gender,3.28,3.28,0.0239,3.28,Male,,,,-3.28,,3.28,,,,
OSI INDUSTRIES LLC,M6 IPF+Occ,hispanic,13.82,13.82,0.1206,13.82,Hispanic,,,,,-13.82,,,13.82,,
ESA MANAGEMENT LLC,M1 Baseline (60/40),race,9.41,14.032,0.2186,26.53,White,0.2,-5.98,-20.92,,,,-1.34,,1.5,26.53
ESA MANAGEMENT LLC,M1 Baseline (60/40),gender,8.95,8.95,0.066,8.95,Male,,,,-8.95,,8.95,,,,
ESA MANAGEMENT LLC,M1 Baseline (60/40),hispanic,8.15,8.15,0.0749,8.15,Hispanic,,,,,-8.15,,,8.15,,
ESA MANAGEMENT LLC,M2 Three-Layer (50/30/20),race,8.94,12.977,0.205,23.72,White,0.04,-5.26,-20.22,,,,-1.35,,3.07,23.72
ESA MANAGEMENT LLC,M2 Three-Layer (50/30/20),gender,10.21,10.21,0.0751,10.21,Male,,,,-10.21,,10.21,,,,
ESA MANAGEMENT LLC,M2 Three-Layer (50/30/20),hispanic,8.0,8.0,0.0734,8.0,Not Hispanic,,,,,-8.0,,,8.0,,
ESA MANAGEMENT LLC,M3 IPF,race,15.93,23.896,0.395,47.78,White,-1.07,-8.13,-32.42,,,,-1.38,,-4.79,47.78
ESA MANAGEMENT LLC,M3 IPF,gender,2.75,2.75,0.0207,2.75,Male,,,,-2.75,,2.75,,,,
ESA MANAGEMENT LLC,M3 IPF,hispanic,20.45,20.45,0.2486,20.45,Hispanic,,,,,-20.45,,,20.45,,
ESA MANAGEMENT LLC,M4 Occ-Weighted,race,9.53,13.856,0.2246,25.93,White,0.33,-6.49,-20.74,,,,-1.35,,2.32,25.93
ESA MANAGEMENT LLC,M4 Occ-Weighted,gender,7.27,7.27,0.0539,7.27,Male,,,,-7.27,,7.27,,,,
ESA MANAGEMENT LLC,M4 Occ-Weighted,hispanic,7.12,7.12,0.0646,7.12,Hispanic,,,,,-7.12,,,7.12,,
