company,company_code,method,dimension,mae,rmse,hellinger,max_error,max_error_cat,naics_group,size_bucket,region,minority_share,urbanicity,signed_AIAN,signed_Asian,signed_Black,signed_Female,signed_Hispanic,signed_Male,signed_NHOPI,signed_Not Hispanic,signed_Two+,signed_White
OUTRIGGER HOTELS & RESORTS,M54666,M1 Baseline (60/40),hispanic,5.42,5.42,0.096,5.42,Not Hispanic,Accommodation/Food Svc (72),1k-9999,West,High (>50%),Urban,,,,,5.42,,,-5.42,,
OUTRIGGER HOTELS & RESORTS,M54666,M2 Three-Layer (50/30/20),race,17.5,25.628,0.4083,46.83,Asian,Accommodation/Food Svc (72),1k-9999,West,High (>50%),Urban,0.24,-46.83,1.27,,,,-5.66,,39.88,11.12
OUTRIGGER HOTELS & RESORTS,M54666,M2 Three-Layer (50/30/20),gender,5.88,5.88,0.0416,5.88,Female,Accommodation/Food Svc (72),1k-9999,West,High (>50%),Urban,,,,-5.88,,5.88,,,,
OUTRIGGER HOTELS & RESORTS,M54666,M2 Three-Layer (50/30/20),hispanic,5.96,5.96,0.1032,5.96,Hispanic,Accommodation/Food Svc (72),1k-9999,West,High (>50%),Urban,,,,,5.96,,,-5.96,,
OUTRIGGER HOTELS & RESORTS,M54666,M3 IPF,race,20.38,30.775,0.5106,54.3,Two+,Accommodation/Food Svc (72),1k-9999,West,High (>50%),Urban,0.0,-50.85,-0.2,,,,-10.08,,54.3,6.83
OUTRIGGER HOTELS & RESORTS,M54666,M3 IPF,gender,5.91,5.91,0.0418,5.91,Female,Accommodation/Food Svc (72),1k-9999,West,High (>50%),Urban,,,,-5.91,,5.91,,,,
OUTRIGGER HOTELS & RESORTS,M54666,M3 IPF,hispanic,1.25,1.25,0.0409,1.25,Hispanic,Accommodation/Food Svc (72),1k-9999,West,High (>50%),Urban,,,,,-1.25,,,1.25,,
OUTRIGGER HOTELS & RESORTS,M54666,M4 Occ-Weighted,race,20.11,29.787,0.4698,52.64,Asian,Accommodation/Food Svc (72),1k-9999,West,High (>50%),Urban,0.23,-52.64,0.96,,,,-7.67,,48.86,10.28
OUTRIGGER HOTELS & RESORTS,M54666,M4 Occ-Weighted,gender,6.12,6.12,0.0433,6.12,Female,Accommodation/Food Svc (72),1k-9999,West,High (>50%),Urban,,,,-6.12,,6.12,,,,
OUTRIGGER HOTELS & RESORTS,M54666,M4 Occ-Weighted,hispanic,5.18,5.18,0.0927,5.18,Hispanic,Accommodation/Food Svc (72),1k-9999,West,High (>50%),Urban,,,,,5.18,,,-5.18,,
OUTRIGGER HOTELS & RESORTS,M54666,M5 Variable-Weight,race,18.74,27.492,0.4366,49.35,Asian,Accommodation/Food Svc (72),1k-9999,West,High (>50%),Urban,0.24,-49.35,1.05,,,,-6.87,,43.93,11.01
OUTRIGGER HOTELS & RESORTS,M54666,M5 Variable-Weight,gender,5.82,5.82,0.0412,5.82,Female,Accommodation/Food Svc (72),1k-9999,West,High (>50%),Urban,,,,-5.82,,5.82,,,,
OUTRIGGER HOTELS & RESORTS,M54666,M5 Variable-Weight,hispanic,5.42,5.42,0.096,5.42,Not Hispanic,Accommodation/Food Svc (72),1k-9999,West,High (>50%),Urban,,,,,5.42,,,-5.42,,
OUTRIGGER HOTELS & RESORTS,M54666,M6 IPF+Occ,race,20.38,30.775,0.5106,54.3,Two+,Accommodation/Food Svc (72),1k-9999,West,High (>50%),Urban,0.0,-50.85,-0.2,,,,-10.08,,54.3,6.83
OUTRIGGER HOTELS & RESORTS,M54666,M6 IPF+Occ,gender,5.91,5.91,0.0418,5.91,Female,Accommodation/Food Svc (72),1k-9999,West,High (>50%),Urban,,,,-5.91,,5.91,,,,
OUTRIGGER HOTELS & RESORTS,M54666,M6 IPF+Occ,hispanic,1.25,1.25,0.0409,1.25,Hispanic,Accommodation/Food Svc (72),1k-9999,West,High (>50%),Urban,,,,,-1.25,,,1.25,,
COAST PROFESSIONAL INC.,EK7826,M1 Baseline (60/40),race,5.76,8.495,0.1784,17.1,Black,Admin/Staffing (56),100-999,Northeast,Medium (25-50%),Suburban,0.2,2.23,-17.1,,,,-0.19,,3.9,10.97
COAST PROFESSIONAL INC.,EK7826,M1 Baseline (60/40),gender,12.48,12.48,0.0913,12.48,Male,Admin/Staffing (56),100-999,Northeast,Medium (25-50%),Suburban,,,,-12.48,,12.48,,,,
COAST PROFESSIONAL INC.,EK7826,M1 Baseline (60/40),hispanic,6.74,6.74,0.0945,6.74,Not Hispanic,Admin/Staffing (56),100-999,Northeast,Medium (25-50%),Suburban,,,,,6.74,,,-6.74,,
COAST PROFESSIONAL INC.,EK7826,M2 Three-Layer (50/30/20),race,6.31,9.463,0.1913,18.73,Black,Admin/Staffing (56),100-999,Northeast,Medium (25-50%),Suburban,0.17,1.93,-18.73,,,,-0.19,,3.87,12.95
COAST PROFESSIONAL INC.,EK7826,M2 Three-Layer (50/30/20),gender,13.57,13.57,0.0991,13.57,Male,Admin/Staffing (56),100-999,Northeast,Medium (25-50%),Suburban,,,,-13.57,,13.57,,,,
COAST PROFESSIONAL INC.,EK7826,M2 Three-Layer (50/30/20),hispanic,5.63,5.63,0.0814,5.63,Not Hispanic,Admin/Staffing (56),100-999,Northeast,Medium (25-50%),Suburban,,,,,5.63,,,-5.63,,
COAST PROFESSIONAL INC.,EK7826,M3 IPF,race,10.29,17.017,0.3467,30.87,White,Admin/Staffing (56),100-999,Northeast,Medium (25-50%),Suburban,0.0,-0.32,-27.9,,,,-0.2,,-2.44,30.87
COAST PROFESSIONAL INC.,EK7826,M3 IPF,gender,8.26,8.26,0.0611,8.26,Male,Admin/Staffing (56),100-999,Northeast,Medium (25-50%),Suburban,,,,-8.26,,8.26,,,,
COAST PROFESSIONAL INC.,EK7826,M3 IPF,hispanic,3.19,3.19,0.0814,3.19,Hispanic,Admin/Staffing (56),100-999,Northeast,Medium (25-50%),Suburban,,,,,-3.19,,,3.19,,
COAST PROFESSIONAL INC.,EK7826,M4 Occ-Weighted,race,5.31,7.637,0.1721,15.74,Black,Admin/Staffing (56),100-999,Northeast,Medium (25-50%),Suburban,0.18,2.4,-15.74,,,,-0.19,,4.79,8.57
COAST PROFESSIONAL INC.,EK7826,M4 Occ-Weighted,gender,11.54,11.54,0.0846,11.54,Male,Admin/Staffing (56),100-999,Northeast,Medium (25-50%),Suburban,,,,-11.54,,11.54,,,,
COAST PROFESSIONAL INC.,EK7826,M4 Occ-Weighted,hispanic,7.89,7.89,0.1073,7.89,Not Hispanic,Admin/Staffing (56),100-999,Northeast,Medium (25-50%),Suburban,,,,,7.89,,,-7.89,,
COAST PROFESSIONAL INC.,EK7826,M5 Variable-Weight,race,5.76,8.495,0.1784,17.1,Black,Admin/Staffing (56),100-999,Northeast,Medium (25-50%),Suburban,0.2,2.23,-17.1,,,,-0.19,,3.9,10.97
COAST PROFESSIONAL INC.,EK7826,M5 Variable-Weight,gender,12.48,12.48,0.0913,12.48,Male,Admin/Staffing (56),100-999,Northeast,Medium (25-50%),Suburban,,,,-12.48,,12.48,,,,
COAST PROFESSIONAL INC.,EK7826,M5 Variable-Weight,hispanic,6.74,6.74,0.0945,6.74,Not Hispanic,Admin/Staffing (56),100-999,Northeast,Medium (25-50%),Suburban,,,,,6.74,,,-6.74,,
COAST PROFESSIONAL INC.,EK7826,M6 IPF+Occ,race,10.29,17.017,0.3467,30.87,White,Admin/Staffing (56),100-999,Northeast,Medium (25-50%),Suburban,0.0,-0.32,-27.9,,,,-0.2,,-2.44,30.87
COAST PROFESSIONAL INC.,EK7826,M6 IPF+Occ,gender,8.26,8.26,0.0611,8.26,Male,Admin/Staffing (56),100-999,Northeast,Medium (25-50%),Suburban,,,,-8.26,,8.26,,,,
COAST PROFESSIONAL INC.,EK7826,M6 IPF+Occ,hispanic,3.19,3.19,0.0814,3.19,Hispanic,Admin/Staffing (56),100-999,Northeast,Medium (25-50%),Suburban,,,,,-3.19,,,3.19,,
ACRES ENTERPRISES,P02174,M1 Baseline (60/40),race,5.94,8.84,0.2265,17.83,White,Admin/Staffing (56),100-999,Midwest,Low (<25%),Urban,0.29,2.93,11.54,,,,0.05,,3.02,-17.83
ACRES ENTERPRISES,P02174,M1 Baseline (60/40),gender,34.53,34.53,0.296,34.53,Female,Admin/Staffing (56),100-999,Midwest,Low (<25%),Urban,,,,34.53,,-34.53,,,,
ACRES ENTERPRISES,P02174,M1 Baseline (60/40),hispanic,49.04,49.04,0.3632,49.04,Not Hispanic,Admin/Staffing (56),100-999,Midwest,Low (<25%),Urban,,,,,-49.04,,,49.04,,
ACRES ENTERPRISES,P02174,M2 Three-Layer (50/30/20),race,6.78,9.756,0.2442,20.34,White,Admin/Staffing (56),100-999,Midwest,Low (<25%),Urban,0.37,3.7,10.54,,,,0.05,,5.7,-20.34
ACRES ENTERPRISES,P02174,M2 Three-Layer (50/30/20),gender,35.63,35.63,0.3037,35.63,Female,Admin/Staffing (56),100-999,Midwest,Low (<25%),Urban,,,,35.63,,-35.63,,,,
ACRES ENTERPRISES,P02174,M2 Three-Layer (50/30/20),hispanic,50.48,50.48,0.3738,50.48,Hispanic,Admin/Staffing (56),100-999,Midwest,Low (<25%),Urban,,,,,-50.48,,,50.48,,
ACRES ENTERPRISES,P02174,M3 IPF,race,0.49,0.659,0.0739,1.21,Black,Admin/Staffing (56),100-999,Midwest,Low (<25%),Urban,0.0,-0.78,1.21,,,,0.0,,-0.68,0.26
ACRES ENTERPRISES,P02174,M3 IPF,gender,29.91,29.91,0.2634,29.91,Female,Admin/Staffing (56),100-999,Midwest,Low (<25%),Urban,,,,29.91,,-29.91,,,,
