uml_id,band,source_system,match_method,confidence_score,source_id,source_name,source_city,source_state,target_id,target_name,target_city,target_state,name_similarity,state_match,city_match,triage,manual_label,manual_notes
210272,MEDIUM,gleif,NAME_STATE,0.800,549300H4ZK81X0R43239,,,NY,8eaaded00bb5004e,Brooklyn Boulevard Alp ,Brooklyn,NY,0.0,True,True,REVIEW_HIGH_RISK,Likely Incorrect,Low name similarity in active high/medium set.
199657,MEDIUM,nlrb,name_zip_exact,0.980,152626,"The Lawrence Community Shelter, Inc.",Lawrence,KS,1d710c04292ad6ee,"The Lawrence Community Shelter, Inc.",Lawrence,KS,1.0,True,True,LOW_RISK,Likely Correct,
1525844,MEDIUM,osha,NAME_AGGRESSIVE_STATE,0.750,51e80b801bb754a99210f875013b5d4b,COMPLETE GENERAL CONSTRUCTION COMPANY,DUBLIN,OH,fe82482c3ba6ac06,Complete General Construction,Zanesville,OH,1.0,True,False,LOW_RISK,Likely Correct,
189804,MEDIUM,nlrb,name_zip_exact,0.980,23053,Boeing,Everett,WA,4d4b8d85236c8082,Boeing,Everett,WA,1.0,True,True,LOW_RISK,Likely Correct,
2405463,MEDIUM,sam,FUZZY_TRIGRAM,0.781,FLGAKFRW9EK8,AMADOR FIRE PROTECTION DISTRICT,JACKSON,CA,63663e8c433a3d19,Fire Protection District,Shasta Lake,CA,0.873,True,False,LOW_RISK,Likely Correct,
210890,MEDIUM,crosswalk,USASPENDING_EXACT_NAME_STATE,0.800,7240,,,TX,bd577e8a4b58ed11,FlightSafety Defense Corporation,Fort Worth,TX,0.0,True,True,REVIEW_HIGH_RISK,Likely Incorrect,Low name similarity in active high/medium set.
200841,MEDIUM,nlrb,name_state_exact,0.900,167120,UPS,Riverside,CA,b4d9b2950bc00498,UPS,Baldwin Park ,CA,1.0,True,False,LOW_RISK,Likely Correct,
198041,MEDIUM,nlrb,name_zip_exact,0.980,131909,"S.M. LORUSSO & SONS, INC.",Walpole,MA,5678913ad4d90f48,"S M LORUSSO & SONS, INC.",WALPOLE,MA,1.0,True,True,LOW_RISK,Likely Correct,
200989,MEDIUM,nlrb,name_state_exact,0.900,169198,Various Employers,North Hollywood,CA,1001df2a3c3b23f4,Various Employers,Northern California,CA,1.0,True,False,LOW_RISK,Likely Correct,
1577107,MEDIUM,osha,NAME_AGGRESSIVE_STATE,0.750,c79e0e31dde4b2078402da46e0c21d05,BURNS CONSTRUCTION CO. INC.,STRATFORD,CT,5fa8a0f21939a4b4,"Burns Construction Company, Inc.",Stratford,CT,1.0,True,True,LOW_RISK,Likely Correct,
208050,MEDIUM,crosswalk,USASPENDING_EXACT_NAME_STATE,0.800,5813,,,CA,05e780c1d07f6a2b,Chevron U.S.A. Inc.,San Ramon,CA,0.0,True,True,REVIEW_HIGH_RISK,Likely Incorrect,Low name similarity in active high/medium set.
1461907,MEDIUM,osha,FUZZY_TRIGRAM,0.700,2fea8280c278f432e0467894ab312a3b,RUIZ CONSTRUCTION,KEARNEY,MO,550b5659e9b1b364,RA CONSTRUCTION,KANSAS CITY,MO,0.875,True,False,LOW_RISK,Likely Correct,
199518,MEDIUM,nlrb,name_zip_exact,0.980,150978,THE BOEING COMPANY,Huntington Beach,CA,08722c5a4fa81da4,The Boeing Company,El Segundo,CA,1.0,True,False,LOW_RISK,Likely Correct,
192426,MEDIUM,nlrb,name_state_exact,0.900,59124,FORD MOTOR COMPANY,Wixom,MI,78cab98ee0b1f20d,Ford Motor Company,Wayne,MI,1.0,True,False,LOW_RISK,Likely Correct,
194302,MEDIUM,nlrb,name_state_exact,0.900,83485,Kaiser Foundation Hospitals,Richmond,CA,814021a7beb8f7b9,Kaiser Foundation Hospitals,Pasadenda,CA,1.0,True,False,LOW_RISK,Likely Correct,
2238729,MEDIUM,990,FUZZY_TRIGRAM,0.797,441082,ORANGE COUNTY IBEW-NECA LABOR-MANAGEMENT COOPERATION COMMITTEE,ORANGE,CA,c7f0cbdac0afc387,IBEW NECA LABOR MANAGEMENT COOPERATION COMMITTEE,Pasadena,CA,0.873,True,False,LOW_RISK,Likely Correct,
