f_num,union_name,local_number,desig_name,city,state,members,yr_covered
42242,TEAMSTERS,589,LU,PORT ANGELES,WA,1443,2024
1658,TEAMSTERS,592,LU,RICHMOND,VA,774,2024
18732,TEAMSTERS,597,LU,South Barre,VT,1062,2024
26065,TEAMSTERS,600,LU,MARYLAND HEIGHTS,MO,1265,2024
39153,TEAMSTERS,601,LU,STOCKTON,CA,0,2019
20901,TEAMSTERS,604,LU,ST. LOUIS,MO,245,2024
12170,TEAMSTERS,610,LU,MARYLAND HEIGHTS,MO,1455,2024
15391,TEAMSTERS,612,LU,BIRMINGHAM,AL,2526,2024
19050,TEAMSTERS,614,LU,PONTIAC,MI,698,2024
28325,TEAMSTERS,618,LU,ST. LOUIS,MO,2003,2024
38602,TEAMSTERS,623,LU,PHILADELPHIA,PA,4084,2024
41930,TEAMSTERS,624,LU,SANTA ROSA,CA,1566,2011
45528,TEAMSTERS,627,LU,PEORIA,IL,1608,2024
14959,TEAMSTERS,628,LU,PHILADELPHIA,PA,741,2024
34093,TEAMSTERS,630,LU,LOS ANGELES,CA,5363,2024
2927,TEAMSTERS,631,LU,LAS VEGAS,NV,7031,2024
32565,TEAMSTERS,633,LU,MANCHESTER,NH,5353,2024
537363,TEAMSTERS,633,LU,SEABROOK,NH,38,2010
15700,TEAMSTERS,636,LU,MCKEES ROCKS,PA,601,2024
6628,TEAMSTERS,637,LU,ZANESVILLE,OH,959,2024
31416,TEAMSTERS,638,LU,MINNEAPOLIS,MN,5910,2024
11839,TEAMSTERS,639,LU,WASHINGTON,DC,9678,2024
21998,TEAMSTERS,641,LU,UNION,NJ,1993,2024
69551,TEAMSTERS,651,LU,LEXINGTON,KY,3427,2024
37664,TEAMSTERS,653,LU,SOUTH EASTON,MA,3131,2024
39382,TEAMSTERS,657,LU,SAN ANTONIO,TX,5231,2024
27451,TEAMSTERS,661,LU,CINCINATTI,OH,289,2010
28535,TEAMSTERS,662,LU,GREEN BAY,WI,4162,2024
41157,TEAMSTERS,665,LU,SAN FRANCISCO,CA,4989,2024
22627,TEAMSTERS,667,LU,MEMPHIS,TN,4345,2024
22454,TEAMSTERS,669,LU,ALBANY,NY,750,2012
1659,TEAMSTERS,670,LU,SALEM,OR,2787,2024
23964,TEAMSTERS,671,LU,BLOOMFIELD,CT,2836,2024
21933,TEAMSTERS,673,LU,WEST CHICAGO,IL,2257,2024
22462,TEAMSTERS,676,LU,COLLINGSWOOD,NJ,4405,2024
24410,TEAMSTERS,677,LU,CHESHIRE,CT,0,2023
36648,TEAMSTERS,682,LU,ST. LOUIS,MO,1514,2024
36805,TEAMSTERS,683,LU,EL CAJON,CA,2513,2024
39042,TEAMSTERS,687,LU,POTSDAM,NY,1530,2024
25471,TEAMSTERS,688,LU,Woodson Terrace,MO,8793,2024
1070,TEAMSTERS,690,LU,SPOKANE,WA,3669,2024
24316,TEAMSTERS,693,LU,BINGHAMTON,NY,1067,2014
7112,TEAMSTERS,695,LU,MADISON,WI,0,2024
35452,TEAMSTERS,696,LU,TOPEKA,KS,1072,2024
25932,TEAMSTERS,697,LU,WHEELING,WV,468,2024
2101,TEAMSTERS,701,LU,NORTH BRUNSWICK,NJ,1706,2024
22671,TEAMSTERS,703,LU,DOWNERS GROVE,IL,4812,2024
43508,TEAMSTERS,705,LU,CHICAGO,IL,20146,2024
17041,TEAMSTERS,706,LU,PARK RIDGE,IL,203,2011
33570,TEAMSTERS,707,LU,HEMPSTEAD,NY,1009,2024
28039,TEAMSTERS,710,LU,MOKENA,IL,13234,2024
37849,TEAMSTERS,716,LU,INDIANAPOLIS,IN,734,2015
33333,TEAMSTERS,722,LU,LASALLE,IL,1140,2024
34268,TEAMSTERS,727,LU,PARK RIDGE,IL,8725,2024
63273,TEAMSTERS,727,LU,DES MOINES,IA,0,2023
35292,TEAMSTERS,728,LU,ATLANTA,GA,11598,2024
9607,TEAMSTERS,730,LU,WASHINGTON,DC,0,2023
11948,TEAMSTERS,731,LU,BURR RIDGE,IL,6088,2024
12169,TEAMSTERS,734,LU,CHICAGO,IL,1545,2024
34094,TEAMSTERS,743,LU,CHICAGO,IL,9671,2024
35460,TEAMSTERS,744,LU,CHICAGO,IL,0,2011
39230,TEAMSTERS,745,LU,DALLAS,TX,3896,2024
37087,TEAMSTERS,749,LU,SIOUX FALLS,SD,1143,2010
28309,TEAMSTERS,752,LU,PHOENIX,AZ,24,2021
21374,TEAMSTERS,754,LU,ELMHURST,IL,0,2018
43443,TEAMSTERS,760,LU,YAKIMA,WA,5705,2024
44761,TEAMSTERS,763,LU,TUKWILA,WA,4936,2024
28641,TEAMSTERS,764,LU,MILTON,PA,0,2024
16816,TEAMSTERS,767,LU,FOREST HILL,TX,10832,2024
61186,TEAMSTERS,769,LU,North Miami,FL,13771,2024
7665,TEAMSTERS,771,LU,LANCASTER,PA,1340,2024
23562,TEAMSTERS,773,LU,Whitehall,PA,7162,2024
22656,TEAMSTERS,776,LU,Camp Hill,PA,8931,2024
9321,TEAMSTERS,777,LU,LYONS,IL,4057,2024
16955,TEAMSTERS,781,LU,Elmhurst,IL,3692,2024
34832,TEAMSTERS,783,LU,LOUISVILLE,KY,2572,2024
4913,TEAMSTERS,786,LU,CHICAGO,IL,1363,2024
25776,TEAMSTERS,792,LU,MINNEAPOLIS,MN,1875,2024
16961,TEAMSTERS,795,LU,WICHITA,KS,1479,2024
27262,TEAMSTERS,802,LU,BALDWIN,NY,1629,2024
31841,TEAMSTERS,804,LU,Port Washington,NY,9172,2024
1507,TEAMSTERS,805,LU,LONG ISLAND CITY,NY,1105,2015
6300,TEAMSTERS,807,LU,NEW YORK,NY,1536,2021
36255,TEAMSTERS,808,LU,CHAPPAQUA,NY,1742,2024
35479,TEAMSTERS,810,LU,LONG ISLAND CITY,NY,3559,2024
1620,TEAMSTERS,812,LU,GREAT NECK,NY,2718,2024
36119,TEAMSTERS,813,LU,LONG ISLAND CITY,NY,2143,2024
35107,TEAMSTERS,814,LU,BROOKLYN,NY,805,2024
48200,TEAMSTERS,817,LU,GREAT NECK,NY,1536,2024
1600,TEAMSTERS,822,LU,Norfolk,VA,1942,2024
36261,TEAMSTERS,823,LU,JOPLIN,MO,497,2024
9324,TEAMSTERS,830,LU,PHILADELPHIA,PA,2985,2024
