script,destructive_rebuild,reads,writes
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\matching\config.py,False,dataclasses;typing,source_state_col;target_state_col;target_table;uses
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\matching\create_nlrb_bridge.py,False,db_config;nlrb_allegations;nlrb_cases;nlrb_elections;nlrb_participants;nlrb_tallies;pathlib;unions_master;v_nlrb_employer_history,first;if;v_nlrb_employer_history
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\matching\create_unified_match_log.py,True,db_config;pathlib;unified_match_log,and;for;if;match_runs
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\matching\deterministic_matcher.py,True,_fuzzy_batch;all;candidate;collections;corporate_identifier_crosswalk;crosswalk;db_config;env;f7_employers_deduped;pathlib;rapidfuzz;splink;tqdm;typing;using,_fuzzy_batch;for;if;in;of;stats;unified_match_log
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\matching\differ.py,False,dataclasses;datetime;match_run_results;match_runs;to;typing,
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\matching\match_nlrb_ulp.py,True,_ulp_matches;collections;db_config;f7_employers_deduped;nlrb;nlrb_cases;nlrb_participants,_ulp_matches;has;if;nlrb_participants;unified_match_log
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\matching\match_quality_report.py,False,datetime;db_config;f7_employers_deduped;match_runs;pathlib;unified_match_log,
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\matching\matchers\__init__.py,False,,
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\matching\matchers\address.py,False,an;typing,
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\matching\matchers\base.py,False,abc;dataclasses;datetime;source;target;typing,source_name
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\matching\matchers\exact.py,False,typing,
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\matching\matchers\fuzzy.py,False,difflib;postgresql;rapidfuzz;typing,
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\matching\normalizer.py,False,cleanco;name_normalizer;pathlib;typing,
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\matching\pipeline.py,False,database;datetime;typing,if;match_run_results;match_runs;tier
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\matching\resolve_historical_employers.py,False,collections;datetime;db_config;f7_employers_deduped;historical_merge_candidates;pathlib,historical_merge_candidates
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\matching\run_deterministic.py,False,actual;datetime;db_config;pathlib,match_runs;run;total;unified_match_log
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\matching\splink_config.py,False,f7_employers_deduped;prediction;splink;unified_match_log,
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\matching\splink_integrate.py,False,best_per_source;corporate_identifier_crosswalk;db_config;mergent_employers;source_deduped;splink_match_results;target_ranked,corporate_identifier_crosswalk;crosswalk;existing;of;rows;splink_match_results;the
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\matching\splink_pipeline.py,True,corporate_identifier_crosswalk;db_config;pathlib;source;splink;splink_config;splink_match_results,if;match_runs;ready;splink_match_results;unified_match_log
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\matching\train_adaptive_fuzzy_model.py,False,db_config;f7_employers_deduped;osha_establishments;pathlib;splink,
C:\Users\jakew\.local\bin\Labor Data Project_real\scripts\scoring\build_employer_data_sources.py,True,corporate_identifier_crosswalk;db_config;f7_employers_deduped;lateral;mv_employer_data_sources;n990_matched;national_990_f7_matches;nlrb_elections;nlrb_matched;nlrb_participants;osha_f7_matches;osha_matched;sam_f7_matches;sam_matched;uml_sources;unified_match_log;whd_f7_matches;whd_matched,concurrently;if;mv_employer_data_sources
